member_type,sigma,tau,sigma_vm,Sy,Su,label
beam,797518384.4107101,243602817.53617975,902254161.3136318,703098971.943065,970581809.5267411,Fracture Risk
column,1991087975.682393,101691788.61671549,1998863423.6793694,1254035048.8702476,1754480426.6667702,Fracture Risk
beam,91832844.31508805,281715357.9022091,496511731.9146734,1134995744.280596,1541575024.3742423,Safe
beam,1029246527.7582245,223358230.3607568,1099552232.5528827,1207554546.282068,1637712998.8522422,Yield Risk
beam,825883097.2746885,41034715.25489508,828935723.6433856,1386769989.9663355,1802314856.6131115,Safe
beam,359497200.80273414,108353434.82509024,405536235.0027265,826025525.4275976,1067109788.17671,Safe
column,590845438.4930841,31333311.238739263,593332673.4367794,755459281.6214746,1065406809.8951604,Buckling Risk
column,1630459724.8195004,121772599.73343755,1644045197.7959733,1221933446.710106,1879739844.108653,Fracture Risk
shaft,72249722.37867221,201961736.64817846,357191337.5120396,397498839.8865126,563086731.1836542,Fatigue Risk
shaft,78991845.32038276,328407432.58204085,574276968.8508346,477128586.24254715,750078962.5301702,Fracture Risk
shaft,29132816.1868057,203828003.8531838,354240435.9235331,559601605.153657,812680106.7510083,Yield Risk
beam,73854129.23213834,109190991.18156797,203033125.54919985,501014996.48493266,629274524.2442846,Safe
beam,110167833.25728378,99006441.13052423,203822907.54623377,651826612.7179406,967141814.852443,Safe
column,1172321114.6951392,86331497.99209686,1181819012.6228008,890194712.8950416,1209141587.9964633,Buckling Risk
shaft,33002495.481240418,159520514.25759602,278261654.0506668,461093442.38713104,602159260.2630908,Yield Risk
column,855151570.2074349,153551567.08807343,895554833.2145,869083396.916012,1315244967.0989087,Yield Risk
shaft,85334862.38909313,14263550.43313761,88839098.10348955,280650383.41391027,396140773.59009963,Safe
shaft,108411867.7965904,326998000.1720951,576659526.4354817,668647567.2901582,809230503.968243,Yield Risk
shaft,150957758.05545118,818691928.4176905,1426028634.244754,1194107267.9825602,1676563466.0912733,Fracture Risk
column,777655499.3333776,72564145.80618475,787746622.5971322,904253651.4597423,1440800297.3056438,Yield Risk
beam,986702157.5142418,222225419.33580267,1059119237.2156119,782868112.6444882,1251141619.1928644,Fracture Risk
column,1258163028.2101147,155346023.41108263,1286612360.6291664,799216190.8968097,1184800652.55773,Buckling Risk
shaft,294652018.3693694,795207393.7031931,1408504245.2651033,948544225.6740788,1178071869.5857637,Fracture Risk
shaft,372829170.89407116,553226268.9080187,1028192348.0065502,1215163981.284206,1797375133.3509548,Fatigue Risk
column,2175670427.3504887,131120929.79676762,2187491692.130456,1300783976.3820226,1794850530.0723486,Buckling Risk
shaft,338685834.2093501,63946849.66322035,356336488.50438386,1314502817.33654,1690672726.7647934,Safe
shaft,193357524.52841112,783067154.0355642,1370025414.172974,1251931082.876834,1869016195.6308627,Yield Risk
beam,585582585.5112143,413455843.56139094,925064412.98927,1082718642.0368395,1544943619.1572974,Fatigue Risk
shaft,83585016.40383391,120051696.8036327,224106413.74919024,247791491.8665927,347094633.39456445,Yield Risk
shaft,230477381.9880296,804568957.711944,1412484848.325499,1212504587.5034733,1495706849.7982545,Fracture Risk
shaft,6264165.011987228,97685350.86693095,169311910.64211527,197428263.9607418,265411643.83192608,Fatigue Risk
shaft,211015900.0828685,564512486.9336581,1000275338.9941461,760168188.9254193,932831035.3713664,Fracture Risk
column,440198305.7032498,85165135.03688258,464256232.0761705,517516025.3669904,666974461.3306855,Buckling Risk
beam,1078293010.564068,220447719.1198657,1143900086.208046,1163800229.315022,1402116637.0463743,Yield Risk
shaft,453459010.1073347,382245778.4577519,802471544.2268605,1360429993.5446699,1730610016.4308052,Safe
beam,791192697.2351685,18479126.726457145,791839831.3623648,501373035.05390644,602492500.1334611,Fracture Risk
shaft,274716997.45064515,130763595.75867738,356043231.38562,697674115.2720144,869193258.3643886,Safe
beam,1063502891.7065644,32465747.218516715,1064988485.8042337,1230813729.1250484,1892835668.5006013,Fatigue Risk
column,66842583.60935918,66863051.5952454,133715870.37244126,498083245.926692,667009040.4992706,Safe
shaft,241834917.1506702,486346772.1941216,876403831.3609736,854557183.0428033,1239903658.7778215,Yield Risk
column,603669073.2881185,41255417.40112161,607883523.7439471,521607383.9613008,824959518.0256747,Buckling Risk
column,293076764.056937,62534810.64094924,312451271.81015545,366488981.51091397,562242017.3904867,Yield Risk
shaft,8070621.441939185,160242022.5989984,277664640.07920206,829185927.4695601,1174332888.3195324,Safe
shaft,103015178.54002649,269686394.3904879,478335009.13863593,490010742.3664524,757357723.1259967,Yield Risk
shaft,161417870.29871494,841530705.2698933,1466484746.7968786,832112433.9431981,1146720946.7222478,Fracture Risk
shaft,45167474.96857909,365936625.99507374,635428157.6457032,547704358.7224792,836972121.686511,Fracture Risk
shaft,63027287.62801863,88653717.97122541,165984589.9959081,328268134.1452559,421229965.2163236,Safe
column,2271947474.0314355,252154892.6074168,2313545243.637002,1385838014.4600415,1675191432.4756644,Fracture Risk
column,7553888.81802094,30778371.311883073,53842229.31966565,319765284.04268336,425018127.71750355,Safe
column,305726348.8366241,95504698.60601403,347609037.1961723,1051369972.878612,1419154501.00212,Safe
beam,1272864296.8908725,101222008.33200918,1284881785.6953967,1135543248.7434988,1645141230.9841301,Fracture Risk
shaft,105991929.19921952,435392071.6696941,761533359.2652764,827720598.4842882,1280328861.871753,Yield Risk
shaft,91480930.58769089,776043289.346092,1347255848.5597665,837708025.4004724,1309712788.3614028,Fracture Risk
beam,756556699.0445935,6403236.501431226,756637986.875052,1161866087.7228317,1578624310.1251085,Fatigue Risk
column,150100043.405873,20592364.174052976,154279484.758264,271803743.18492234,353111475.09930694,Safe
shaft,140707185.85918623,840822891.1910757,1463129493.655695,721618431.8039172,1097542421.5487592,Fracture Risk
beam,864727695.1269004,310676458.7728608,1018485921.7615219,862029183.8522635,1283062984.2310705,Fracture Risk
beam,466192091.37303007,57115727.82145594,476572853.9819316,403383208.3303622,606599817.6011213,Fracture Risk
column,235931854.25328597,80733905.27655995,274258509.86798465,422777681.5393037,533922698.82373095,Yield Risk
shaft,227350056.091755,724094942.0771095,1274609157.1261685,629474186.2552755,795223959.0849948,Fracture Risk
shaft,19382282.78635782,200263435.57661813,347407547.0867914,712193934.0377841,919078176.6658759,Safe
beam,594678845.9397358,112741043.63094139,625918971.2456378,722723994.5080993,1098836820.4488313,Fatigue Risk
beam,148225517.2818832,874567.3223569047,148233257.32603282,116891353.27333511,156317712.76413313,Fracture Risk
beam,1234421987.0134406,57421146.7393755,1238422063.0709085,1103089880.137629,1649962172.8889217,Fracture Risk
beam,109344600.29416452,57455953.13066942,147850604.54374763,463587973.5694479,578746707.0932149,Safe
beam,460854847.08911425,85002656.92093277,483801142.14042974,311844419.52349573,492522805.20837003,Fracture Risk
column,293659021.976545,34064203.921269625,299527513.18466634,235585665.98068696,340170665.552841,Buckling Risk
beam,35975742.231594235,41618130.60026116,80563393.75358573,124744392.16273256,150573959.74233446,Fatigue Risk
column,1203507267.5825367,21266770.043891106,1204070832.4879742,1032510501.9583797,1353184156.448492,Buckling Risk
beam,395576069.2764634,51066336.44198839,405343975.82428235,1086636771.2400455,1501979293.1333559,Safe
column,147515396.07842574,86904764.63315706,210756035.32997128,1122928519.3310833,1572295898.1127815,Safe
column,109464431.86801079,21431520.13524149,115587161.96060945,292007830.52798295,362787913.4626595,Safe
shaft,151673240.95908713,132216158.95446958,274678193.69046026,457011976.3590591,705640596.629788,Fatigue Risk
beam,376646678.6664575,139075046.07623598,447088722.59742266,466297045.1742591,628848005.3222368,Yield Risk
column,1936145628.5268924,248303832.9140887,1983336652.0042124,1366506674.878149,2087671747.723565,Buckling Risk
column,1708001428.687327,34419253.169635415,1709041525.3481164,1009986811.3868531,1614664389.25448,Buckling Risk
beam,29200205.510541253,793627.6648898643,29232542.422260836,113138637.76063609,161304996.39705783,Safe
shaft,420446923.8972034,1365628417.9596362,2402415148.0606837,1362250602.618257,1990043990.4634025,Fracture Risk
beam,135640569.34277067,310195908.28283304,554132537.0323117,1163594360.9399362,1762926037.0560634,Safe
beam,667077627.759677,210991408.9724855,760621249.6624467,706737304.8451444,1063195968.8677949,Yield Risk
beam,844669619.7606913,194190254.05433047,909173432.7705177,637280248.6386455,969575145.33238,Fracture Risk
column,1560093133.3017128,134280073.11685237,1577334459.9938078,1194840381.5526972,1769942842.0133908,Fracture Risk
shaft,193945690.1734389,113897298.42523335,276645467.164296,608754625.0287541,830092481.3014129,Safe
shaft,36386156.75447813,533348800.6629583,924503532.6645375,496151606.1215776,673329702.0339965,Fracture Risk
shaft,225250987.56848252,208536925.64668003,425677055.3777635,620001100.7481885,823983768.8620557,Fatigue Risk
column,161849375.1347436,441953.3674319466,161851185.35198903,271657526.97672427,389689908.39442,Safe
column,148628265.4274295,259365670.46906632,473182855.07567936,1390666860.2598913,1872454137.6710427,Safe
shaft,268775766.12032187,167767958.29269812,395826573.0628345,771225032.625677,1093588330.6396744,Safe
beam,111856168.74399488,10286870.81605646,113266330.47664146,165449600.1074091,257317550.32630202,Fatigue Risk
beam,596606838.8511918,177539321.71105662,671193230.3181238,1170776836.7719336,1859851009.6471217,Safe
shaft,36870410.42387925,213787683.29279834,372122221.51859033,378291391.3365105,567735722.3319528,Yield Risk
column,76306156.59602465,1706083.034074634,76363353.07210198,122926742.60154505,170608822.66980022,Buckling Risk
shaft,110388114.47684772,158707111.4204712,296225214.092324,470195285.2266031,604039183.8529053,Fatigue Risk
shaft,112060454.5172503,362795879.76287436,638294678.4874262,990322170.4001971,1275861221.444643,Fatigue Risk
shaft,178320503.42640603,504044254.8950651,891055573.2502946,918106337.3286049,1402759685.7372115,Yield Risk
beam,517667279.7880644,144914664.35384122,575308780.04558,489061883.75869155,651326354.9995309,Fracture Risk
shaft,66678851.14188176,100184157.4955735,185894231.83330584,230595819.9511138,332203845.0656935,Fatigue Risk
column,956104837.5267622,3161933.371368706,956120522.6382349,701166516.7462242,1061353125.3566667,Fracture Risk
column,662313908.1104004,82591221.4697343,677586630.9691035,644555273.9046817,1005215756.2554487,Buckling Risk
shaft,101951077.53973353,794344202.7820811,1379616671.2866342,1070332805.047225,1358149923.6646678,Fracture Risk
beam,98621895.99034189,56288138.65533024,138677114.29278755,169907122.43912208,250342825.04080757,Yield Risk
shaft,33979598.84466183,193613260.3638815,337065122.6452251,275288462.000548,372439054.34826213,Fracture Risk
column,366684323.33256143,39817658.79867728,373113562.9194979,337604983.71916586,535530256.3608566,Buckling Risk
column,870620395.5899589,49004028.463818274,874747996.6448992,516186221.54279023,789353709.2894257,Buckling Risk
column,88263015.42575093,28118444.639770605,100808237.15811065,155740240.3834046,228859698.7914705,Yield Risk
column,135508253.9208633,8544967.850832129,136314108.9814126,231971232.23262802,318158707.7177852,Safe
column,503612130.0240548,48620534.31554277,510604589.26526713,568859653.407112,893935738.5922375,Buckling Risk
beam,1062686285.3828515,245521712.22845328,1144615601.2686431,1389301174.528515,2031426178.2489827,Fatigue Risk
shaft,377734571.48775744,1264892247.3228433,2223182538.2791533,1123657352.327703,1724858275.134262,Fracture Risk
shaft,62978675.57313205,158079569.60467777,280951534.1765307,838948649.3065181,1241274634.5616157,Safe
column,1525201633.355402,101403691.82027243,1535281130.1303513,849195099.3608727,1315482303.5766664,Buckling Risk
column,1221867818.4122036,12037040.174734654,1222045677.002256,1072875287.9975538,1584673369.3952885,Buckling Risk
column,480498319.36996967,16308303.258541094,481327868.69542783,321979287.4168625,470133336.2841802,Buckling Risk
shaft,100523767.8174543,31965525.914938916,114762417.3554799,766557621.2178713,1207542590.3576708,Safe
beam,947129467.4364815,97820081.44992633,962164504.1733371,610097855.5781093,767365625.8426213,Fracture Risk
beam,1521988289.944706,417340580.4606966,1684923688.1908402,1301036849.3480582,1630091910.7194386,Fracture Risk
beam,517975790.2468347,366206409.1655533,818914111.2617482,1155431199.1438613,1624918445.1835191,Yield Risk
shaft,123656883.57633637,226292523.19460827,410993847.90670353,384192743.11613584,598330489.6840185,Yield Risk
shaft,15860337.626340013,358550902.158142,621230873.8503536,1355597846.9410856,1784723327.5288968,Safe
column,383834025.6682432,71316472.1426412,403220382.49238586,1341386636.663106,1709248373.9275842,Safe
shaft,176741155.38798892,500529297.3888063,884774642.8562912,513785542.90461534,802906813.2758985,Fracture Risk
column,2109559420.1982684,251749952.01255482,2154152980.259811,1273888123.2977722,1529754244.5015953,Buckling Risk
shaft,177747342.53579235,1236401895.8949022,2148874836.3494935,1086941336.477824,1672394751.7916243,Fracture Risk
beam,472299771.9400389,42930047.56555437,478117183.8854519,333181509.6815149,532843702.4667695,Fracture Risk
column,1357543991.8460195,141038640.40746367,1379348173.6172283,1041364738.103865,1366224243.0774064,Buckling Risk
shaft,149498445.87099066,118787425.62203453,254324876.4387249,552478070.1292877,715702387.9458361,Safe
beam,310093925.07736254,57724641.21919942,325813819.5066944,281348502.3508469,377159624.25745416,Fracture Risk
column,78318626.68112499,43167626.312594876,108278064.12015742,328284844.04149437,483815977.81575406,Safe
beam,1493731437.1824522,225441610.25551993,1543925310.8006744,1045165842.6191865,1432021651.280525,Fracture Risk
column,36563278.1128594,91525970.32155159,162689529.58399913,514712619.02546996,745802615.6157634,Safe
column,874325463.644034,76250562.23245531,884244005.4072471,1253395788.532076,1979835989.1716895,Buckling Risk
column,1202617583.366664,30525254.83840799,1203779226.175433,839611460.7962697,1192356800.9832013,Buckling Risk
beam,709326600.5949403,166655670.12185705,765811049.4520627,614757494.0174792,945551044.4074277,Fracture Risk
shaft,84627025.77265574,73961187.98671347,153533401.82625943,642998558.0264955,979050436.708887,Safe
beam,401411393.619425,184976693.29977375,513595403.13348275,1246032159.8236969,1864915158.0301347,Safe
column,475893629.0161505,32702260.55399393,479252605.2868001,333292996.7464744,473521453.20175546,Buckling Risk
column,135662011.54750907,63808699.47913309,174982375.58328965,386978005.12704283,540396015.4973527,Safe
beam,209089071.41464067,24028250.28315986,213190783.6189154,152196689.41118634,229629825.07838327,Fracture Risk
shaft,267551687.58498853,82983465.7013122,303714787.7021761,829446853.1868163,1024585920.4474633,Safe
beam,1435024047.3919368,404393315.36309785,1596839339.797279,1327386741.199157,2041825495.1637497,Fracture Risk
beam,32018661.420346837,37887617.18154067,73017869.6363824,351720870.02949166,555955058.7427008,Safe
beam,472321459.42293644,42120231.019045256,477922485.9898369,341766745.83842194,434507245.2538843,Fracture Risk
shaft,116918776.87003562,196643630.4662725,360105751.9585781,591167420.3562496,720774145.4645272,Fatigue Risk
shaft,10764938.600802723,195268529.97813767,338386288.5853202,862848367.3016044,1313517744.1388535,Safe
column,1163869112.422056,59946569.08841816,1168491371.0791886,1273261468.45935,1533486553.9743567,Buckling Risk
beam,142159989.28979403,340957461.49525094,607425249.8890139,881300716.2163814,1304205328.5948083,Yield Risk
beam,916699443.7765636,140221855.50021994,948327146.3477331,849305882.2150887,1230732608.8345034,Fracture Risk
beam,229067991.32941538,296823424.380512,562836193.2521875,814361111.7011167,1291830278.592081,Yield Risk
beam,1187287432.2932026,231299153.4423925,1253056001.1551313,1353789824.0310397,1777561126.658495,Yield Risk
shaft,79343351.97878797,187191147.57264712,333791768.4604033,269817105.27757204,405522973.1536951,Fracture Risk
shaft,282437007.06483835,480133634.3787659,878268514.4903185,765428761.6091962,1178987653.6397865,Fracture Risk
column,61802997.248542175,140024248.89210048,250279806.02176842,585941489.8886704,822133317.660291,Safe
beam,188562285.18380144,91993245.21603997,246868399.94189748,437460751.0590903,679702332.7136763,Safe
shaft,247573137.3212595,189555515.48764095,411201092.74957806,703157149.4351594,1105212732.837174,Safe
beam,784273753.4376509,431722548.05355746,1083622810.6794126,1177767459.1096635,1532444047.1786857,Yield Risk
beam,732663651.0095595,126035738.29682624,764493981.3332318,1046340676.6742209,1548757107.1682894,Yield Risk
column,425701652.5998233,129645527.89438175,481295944.0253568,669969630.5144509,944532994.5360404,Yield Risk
column,838876004.3600931,94514647.45803875,854699951.1194013,589265847.222303,760280836.0826501,Buckling Risk
shaft,83702156.25316,410126003.83042425,715273421.857102,354513378.087067,515378541.96427774,Fracture Risk
shaft,180139842.7110475,1020999285.6123083,1777573904.6786473,916324335.6246449,1241919833.5318515,Fracture Risk
column,1528035379.147416,108367610.70140974,1539520294.466294,860004787.9224412,1207603806.8305757,Buckling Risk
shaft,200738900.8219482,209035946.8790346,413985733.5296081,898262519.3997825,1326460741.6768262,Safe
column,671959336.8471847,1120994.2951946787,671962141.9847533,1002356626.7248027,1493733938.456737,Yield Risk
beam,375581626.8952339,125995751.94676487,434380417.3615137,561765620.67481,892030780.5082332,Fatigue Risk
beam,1170493148.9156554,312487100.9677736,1289573098.537736,839754310.3059658,1192192935.867222,Fracture Risk
shaft,5883134.03742155,58131655.834212124,100858710.56177615,471514719.81692284,655791906.9354411,Safe
column,460872186.38135844,6210489.215287986,460997703.58301485,315074658.9354198,481645220.2489545,Fracture Risk
beam,139556559.78417212,80404686.08492762,197156724.4910517,240819476.50925916,378595746.14058805,Yield Risk
shaft,289996940.51430124,216792401.99378696,474441842.79462785,1110907005.2834482,1344388588.842606,Safe
column,137145435.32356602,13660339.690942055,139171423.32931072,918679274.8635483,1240489419.135175,Safe
column,305151437.6461832,76355079.58091943,332577351.049283,822216799.336119,1055942400.8082557,Safe
shaft,138288478.6832188,671544191.5274942,1171340474.3538346,945361223.4076262,1262243742.3554955,Fracture Risk
column,847768694.9990244,51294660.88265229,852411395.3517677,668383677.758497,1056988713.0905882,Buckling Risk
shaft,56502107.898851916,442381041.40661424,768306869.4115751,783412136.8322572,1014896918.2903999,Yield Risk
column,59858853.57067538,3556715.799030714,60175020.0051548,897293504.7360611,1428482247.704116,Safe
beam,54672753.278017744,20601704.763548966,65287063.56156868,196108703.89470488,285876151.68426317,Safe
column,20174834.946050074,32184916.90493054,59284319.964322895,175293030.2069753,256195932.71757525,Safe
shaft,116867692.35628992,92775790.01298352,198695996.8250092,681065138.9194257,1086740359.2998948,Safe
beam,484838073.75611115,81202178.17983015,504826048.2453168,345016593.9159918,482753313.63628936,Fracture Risk
beam,797620070.4769657,118975783.82260445,823810347.2500749,582465823.5185511,905110644.6609432,Fracture Risk
beam,207973945.9987342,149389081.1639883,331970563.34462315,1070035690.7996633,1460713660.8510544,Safe
column,196263286.03220642,93357244.1037037,254295109.12338686,645409578.7089083,983813468.1931617,Safe
beam,887521249.6520412,240221655.66984728,980210844.738115,1077314922.000016,1462602816.9792752,Yield Risk
shaft,330481884.4131713,887904074.3566389,1573003245.9288316,937967720.9684095,1438103609.4593248,Fracture Risk
column,603183686.2392209,5346696.8833772335,603254772.7517976,370065634.965874,487804397.8855603,Buckling Risk
column,284945055.96568084,168065882.1419231,407347648.99249554,1185331006.5033333,1612021508.234631,Safe
beam,672663549.3735512,164776974.1718146,730705552.3995152,1035590839.1408962,1310968292.5080888,Yield Risk
column,445191896.2634693,199316539.57570717,563362293.150657,1151610579.1784325,1591943611.1478486,Safe
shaft,35909619.13473603,69429846.16208799,125503033.27280746,575421148.8615136,793420861.1553164,Safe
shaft,308667538.5300286,1067083381.5466009,1873840035.5582578,1032841673.734026,1276210824.0749226,Fracture Risk
beam,1069807497.4286227,120763620.61808175,1090064052.1312757,1280838294.8105903,1723851736.1713471,Yield Risk
beam,503228388.8374038,134263127.22871053,554363214.2662318,755596343.3081058,947946645.7202096,Fatigue Risk
column,873333028.774999,10245535.720404673,873513303.9375575,848446641.334915,1332673188.1953547,Buckling Risk
column,505449556.88193667,63962521.169973835,517448419.55059075,731206263.393889,1143422668.8488977,Buckling Risk
column,958179668.7822053,220778780.61833867,1031667624.567883,1387892440.7935538,1684310746.641025,Yield Risk
column,175583694.45981658,40106474.08741237,188825902.75523922,302449409.83751714,379311867.9155615,Yield Risk
beam,367076850.4419854,50606323.31284032,377396891.8898762,233637004.98817426,291933914.56774384,Fracture Risk
column,1452989097.2016115,222578584.6345342,1503263448.5014567,1217160527.486063,1752295315.422124,Buckling Risk
beam,896309347.8800508,236248849.19215715,985297418.717322,1130114340.9050686,1608862670.9140446,Yield Risk
column,107840667.11656389,96137007.93858331,198384934.83703655,705442777.9297922,893286834.7542489,Safe
shaft,4326433.057354311,3317144.4184263623,7192243.341118242,321254162.08271945,443906777.1400321,Safe
beam,1044652377.7580127,398756083.5369885,1252324970.9355567,1083511052.4224796,1562738920.823083,Fracture Risk
shaft,222393917.22831118,97054955.03330177,278779567.59723556,724464721.4774851,1043632364.3992311,Safe
beam,1273994395.2404308,110813136.92053436,1288371209.3362448,1170039909.6489697,1445613270.1417334,Fracture Risk
shaft,334977575.8702884,761324044.3558385,1360534041.4259863,933464788.8064003,1135673623.2730842,Fracture Risk
column,276583427.40068835,17276091.130222697,278197380.0863896,188687258.52365297,261608500.52874577,Buckling Risk
column,400444870.50559485,98737449.69278625,435434663.5601593,681903456.6963768,846424017.7329612,Buckling Risk
column,1511050148.8162878,200495592.0871073,1550441227.3855479,1129213355.4505877,1477512591.0727108,Fracture Risk
column,1328242001.5007603,165333048.21462056,1358761150.8453426,1246824812.3651767,1657610518.4303539,Buckling Risk
beam,419869431.98104155,470649541.5780457,916964182.9836955,1371455562.5273287,1901931328.3960161,Fatigue Risk
column,1419295649.3877647,108005247.13053896,1431571004.384422,1126160326.3554478,1728343845.6528509,Buckling Risk
column,1552355452.421715,160478809.3114084,1577044005.5297918,1277276025.722615,1786822295.1547112,Fracture Risk
column,119234731.26141793,22504435.797233913,125444290.54619434,127230041.56661695,188933678.37191296,Yield Risk
column,860039053.3251717,132627843.89143425,890189647.3057467,1054213387.7569455,1614838516.49951,Yield Risk
shaft,435145300.1983581,829797172.4093254,1501679551.1360784,1334845757.3303978,1926404430.6278548,Fracture Risk
column,534939592.9161589,58847121.09841111,544563420.5985737,511054986.7484344,689063503.6161232,Buckling Risk
column,479066133.5262427,115259736.83319403,518997862.3234928,1348493748.2603924,1735225311.1147645,Safe
beam,370687604.1316038,13708607.516783845,371447274.34317815,514660470.35743475,750073453.1189218,Fatigue Risk
column,862114033.1518185,46763508.780383155,865910551.6262368,1397338337.0901573,1949469466.4630241,Yield Risk
column,765516130.1215112,42756211.98955376,769089868.9147462,462708309.44110906,676961922.8100231,Buckling Risk
column,259034788.70393494,135276268.6691266,349282161.5170425,1322514586.6873834,1837925693.9899716,Safe
beam,24721946.480023693,62518863.284027725,111072046.1535755,278823251.7411747,408533379.4818878,Safe
column,374217094.0214663,89469248.01495944,405034162.11346656,976296534.5725518,1426692199.428022,Safe
beam,1028775563.5720633,30231431.10257139,1030107265.5226469,1020639832.7868526,1372264887.7369397,Yield Risk
column,680126676.2124314,72585756.80664195,691649023.6885674,713948001.8755404,1025910326.8943594,Buckling Risk
shaft,162418220.6072857,42082951.84085618,178024163.78726903,407318844.56320715,593211878.1821982,Safe
beam,221194802.11520457,27210681.30381896,226160129.14269066,386062816.61959016,487533639.7108686,Safe
column,122104143.43598182,24962147.81845958,129532807.87262625,252295594.4949344,319604831.5819317,Safe
column,505196340.6273312,66332583.75267872,518095915.4299181,893157384.2044581,1238019672.3915632,Buckling Risk
column,511350400.8721873,54246375.662851185,519910800.3204128,1174819603.820309,1717886809.156589,Safe
column,409008850.6900754,46900273.847596616,416997778.1760414,320592663.0251324,424900784.4649909,Fracture Risk
column,514119884.1326483,4988520.624808683,514192484.6539865,313388442.0820431,401641724.0178295,Buckling Risk
beam,26367774.98187702,44968933.861112095,82230618.35660803,145651854.44256654,202632571.3912913,Safe
shaft,112766883.01533692,248333229.53824568,444662285.9920546,834020343.8852547,1072395167.6858883,Safe
column,640341859.641989,33547076.951605514,642972718.1815349,863202799.3600901,1216907489.3420382,Buckling Risk
beam,995462136.5632595,267729226.1744889,1098171972.4046235,1023001223.5893092,1419409586.4467514,Yield Risk
column,169599942.1598614,69289825.51898378,207767610.9069505,1147610456.1766508,1523161152.7032003,Safe
column,514796051.3415251,30753779.732893016,517544548.2085615,391875981.2377622,593171593.4376572,Fracture Risk
shaft,111338462.46437667,823328352.3239462,1430386304.6203022,696519389.2010078,1034066754.2956775,Fracture Risk
shaft,9251369.567665778,1091175044.919428,1889993260.2534924,992343147.8005154,1191281146.1804128,Fracture Risk
shaft,27744546.06971586,311396116.7886795,540067018.5169812,436564826.01816785,622107518.678303,Fracture Risk
shaft,63132821.74408406,223521570.60369408,392264490.8181174,189389012.29972023,280954528.9078142,Fracture Risk
shaft,114662894.48712343,1032678085.0217056,1792322421.1130252,1121922397.2886891,1524646520.183238,Fracture Risk
shaft,34631565.50245943,143364424.0800319,250717808.71040818,259398208.5394632,391644924.0507101,Yield Risk
column,1405183209.8423052,113337803.78863102,1418829174.5399144,914100127.2501853,1409875013.2537384,Buckling Risk
column,104432976.2450249,65461144.136078894,154148404.7994251,888769827.4263527,1202708348.260073,Safe
column,298775141.74093664,202756704.54379305,461082887.38001734,1129172654.2453651,1593761653.7268438,Safe
shaft,33788600.62087037,421539609.0272565,730909430.4142432,547237506.0528725,843979831.2298095,Fracture Risk
shaft,56251040.21451041,189558649.69002032,333109028.0105389,190835345.03281638,244207037.98697966,Fracture Risk
column,452618486.70373344,43853752.393984646,458947654.2080551,603270940.4385428,765895772.084438,Buckling Risk
column,129519312.64579882,3441044.1839580345,129656371.62695876,115016612.45595443,156452146.18486342,Fracture Risk
beam,377090849.2755751,147087739.67468262,455084517.52965194,424424336.63452274,560482128.5694538,Yield Risk
beam,86391414.0047168,70455357.6818807,149517051.5091159,179245834.0672128,250476661.0771013,Yield Risk
column,198004079.45835182,51679169.40772896,217296629.36678874,756359159.9773797,1066944315.0336777,Safe
beam,649446543.3887637,191674231.96669987,729381824.7801944,483552182.6454996,587052740.9781653,Fracture Risk
column,491103274.8758694,76011144.75832604,508444204.3884632,542294545.0048912,794533612.5535718,Buckling Risk
beam,130946136.84444702,74211595.97695975,183491072.49898338,411408119.8991797,582291192.247257,Safe
column,251422267.82343492,30341139.697673447,256855817.594113,194008553.3139198,309472341.95945907,Buckling Risk
shaft,268119151.38752317,866663052.1027415,1524861441.8959131,850263503.445966,1321003461.3196507,Fracture Risk
shaft,14029126.401615994,848235290.7956504,1469253600.315867,943960803.6645728,1386982180.487141,Fracture Risk
beam,72196049.77917224,201085049.16662958,355693492.4886232,676438458.4755305,1075325161.1950562,Safe
shaft,71077890.61282733,161169483.26905757,288060537.98744136,648894271.5716841,1002104193.3792732,Safe
beam,1511644507.5555696,208826915.8026688,1554315012.9603348,1061780422.2500558,1551172383.3612146,Fracture Risk
shaft,107424242.98765513,547518280.4743464,954394452.1748991,524865213.09510857,728777791.0659479,Fracture Risk
beam,865482795.1804051,303992964.1789326,1013062503.2860354,1070914910.0772752,1449287787.3025784,Yield Risk
column,950671582.8599117,7497884.470297686,950760281.7072028,580802574.4686974,899638752.1767676,Buckling Risk
shaft,66397508.16196093,501544265.6677991,871233941.2367227,606851878.8378767,773947188.7149342,Fracture Risk
beam,1023634570.1228833,285441456.760113,1136775355.4958282,1076938053.7428148,1668408710.2862518,Yield Risk
beam,497101636.7217725,196620975.84617847,602569051.3622282,538032051.0431048,689738658.6555302,Fracture Risk
shaft,200838612.06632924,56153584.62005675,223149777.71392718,454935161.34803605,577415319.7792453,Safe
shaft,248298842.84647563,1335149141.5010257,2325837914.71196,1154230033.0661662,1620175456.9692254,Fracture Risk
beam,646973416.755639,100985587.24817671,670200618.0868852,898458444.606679,1307582387.364263,Yield Risk
column,1498395144.0600426,39934635.53234729,1499990777.6676562,1097639865.5384388,1329042735.7017145,Buckling Risk
column,273488645.73189807,32228716.13063662,279127407.7810259,360477116.047358,457422659.43897486,Buckling Risk
column,70260523.97702187,47577025.768343925,108292480.68268938,242723224.16946712,299874244.78376615,Safe
beam,418308475.86229014,149984457.76379162,492410391.5336556,1253129367.7258985,1763798960.6074736,Safe
